Country,Code,Year,Consumption Change (TW)
Algeria,DZA,1966,5.133
Algeria,DZA,1967,-1.748
Algeria,DZA,1968,1.645
Algeria,DZA,1969,3.792
Algeria,DZA,1970,2.572
Algeria,DZA,1971,3.713
Algeria,DZA,1972,4.427
Algeria,DZA,1973,7.843
Algeria,DZA,1974,6.412
Algeria,DZA,1975,11.96
Algeria,DZA,1976,11.552
Algeria,DZA,1977,8.465
Algeria,DZA,1978,23.205
Algeria,DZA,1979,35.058
Algeria,DZA,1980,28.703
Algeria,DZA,1981,37.721
Algeria,DZA,1982,32.592
Algeria,DZA,1983,23.576
Algeria,DZA,1984,-11.412
Algeria,DZA,1985,1.527
Algeria,DZA,1986,16.365
Algeria,DZA,1987,6.941
Algeria,DZA,1988,21.188
Algeria,DZA,1989,-8.481
Algeria,DZA,1990,18.175
Algeria,DZA,1991,-3.346
Algeria,DZA,1992,8.41
Algeria,DZA,1993,-22.687
Algeria,DZA,1994,4.479
Algeria,DZA,1995,11.144
Algeria,DZA,1996,-3.049
Algeria,DZA,1997,-11.888
Algeria,DZA,1998,10.075
Algeria,DZA,1999,3.121
Algeria,DZA,2000,-11.048
Algeria,DZA,2001,10.824
Algeria,DZA,2002,11.174
Algeria,DZA,2003,14.369
Algeria,DZA,2004,12.901
Algeria,DZA,2005,15.627
Algeria,DZA,2006,13.919
Algeria,DZA,2007,20.4
Algeria,DZA,2008,23.761
Algeria,DZA,2009,25.143
Algeria,DZA,2010,-9.415
Algeria,DZA,2011,24.906
Algeria,DZA,2012,43.136
Algeria,DZA,2013,30.097
Algeria,DZA,2014,48.296
Algeria,DZA,2015,31.995
Algeria,DZA,2016,-0.824
Algeria,DZA,2017,6.158
Algeria,DZA,2018,46.987
Algeria,DZA,2019,23.979
Algeria,DZA,2020,-56.346
Argentina,ARG,1966,10.586
Argentina,ARG,1967,9.752
Argentina,ARG,1968,11.123
Argentina,ARG,1969,12.517
Argentina,ARG,1970,-20.233
Argentina,ARG,1971,21.295
Argentina,ARG,1972,4.781
Argentina,ARG,1973,12.695
Argentina,ARG,1974,6.904
Argentina,ARG,1975,-14.042
Argentina,ARG,1976,20.047
Argentina,ARG,1977,19.178
Argentina,ARG,1978,-8.771
Argentina,ARG,1979,24.483
Argentina,ARG,1980,-14.99
Argentina,ARG,1981,-13.939
Argentina,ARG,1982,2.507
Argentina,ARG,1983,12.766
Argentina,ARG,1984,-6.409
Argentina,ARG,1985,-11.359
Argentina,ARG,1986,26.254
Argentina,ARG,1987,18.262
Argentina,ARG,1988,30.413
Argentina,ARG,1989,-10.963
Argentina,ARG,1990,-28.236
Argentina,ARG,1991,12.423
Argentina,ARG,1992,30.148
Argentina,ARG,1993,3.118
Argentina,ARG,1994,19.142
Argentina,ARG,1995,25.044
Argentina,ARG,1996,39.326
Argentina,ARG,1997,-9.782
Argentina,ARG,1998,29.254
Argentina,ARG,1999,23.327
Argentina,ARG,2000,-16.169
Argentina,ARG,2001,-41.576
Argentina,ARG,2002,-22.025
Argentina,ARG,2003,47.529
Argentina,ARG,2004,52.991
Argentina,ARG,2005,38.312
Argentina,ARG,2006,27.171
Argentina,ARG,2007,57.447
Argentina,ARG,2008,11.227
Argentina,ARG,2009,-35.421
Argentina,ARG,2010,31.47
Argentina,ARG,2011,30.518
Argentina,ARG,2012,38.545
Argentina,ARG,2013,27.432
Argentina,ARG,2014,-1.643
Argentina,ARG,2015,12.291
Argentina,ARG,2016,-0.065
Argentina,ARG,2017,-3.16
Argentina,ARG,2018,-12.461
Argentina,ARG,2019,-61.432
Argentina,ARG,2020,-56.927
Australia,AUS,1966,21.399
Australia,AUS,1967,26.201
Australia,AUS,1968,27.607
Australia,AUS,1969,18.568
Australia,AUS,1970,43.341
Australia,AUS,1971,24.747
Australia,AUS,1972,27.098
Australia,AUS,1973,40.91
Australia,AUS,1974,37.559
Australia,AUS,1975,8.81
Australia,AUS,1976,27.374
Australia,AUS,1977,38.859
Australia,AUS,1978,21.983
Australia,AUS,1979,31.298
Australia,AUS,1980,5.366
Australia,AUS,1981,12.304
Australia,AUS,1982,-4.991
Australia,AUS,1983,-26.797
Australia,AUS,1984,28.485
Australia,AUS,1985,22.693
Australia,AUS,1986,17.07
Australia,AUS,1987,27.463
Australia,AUS,1988,39.305
Australia,AUS,1989,48.62
Australia,AUS,1990,19.616
Australia,AUS,1991,-10.261
Australia,AUS,1992,16.169
Australia,AUS,1993,20.559
Australia,AUS,1994,41.985
Australia,AUS,1995,49.94
Australia,AUS,1996,32.441
Australia,AUS,1997,29.021
Australia,AUS,1998,29.186
Australia,AUS,1999,49.257
Australia,AUS,2000,7.852
Australia,AUS,2001,11.274
Australia,AUS,2002,24.527
Australia,AUS,2003,17.23
Australia,AUS,2004,41.515
Australia,AUS,2005,0.5
Australia,AUS,2006,59.862
Australia,AUS,2007,33.1
Australia,AUS,2008,23.894
Australia,AUS,2009,-28.886
Australia,AUS,2010,-15.843
Australia,AUS,2011,21.195
Australia,AUS,2012,-17.397
Australia,AUS,2013,5.552
Australia,AUS,2014,22.415
Australia,AUS,2015,30.407
Australia,AUS,2016,-7.431
Australia,AUS,2017,-0.789
Australia,AUS,2018,-16.466
Australia,AUS,2019,36.135
Australia,AUS,2020,-107.551
Austria,AUT,1966,5.136
Austria,AUT,1967,0.953
Austria,AUT,1968,12.438
Austria,AUT,1969,12.023
Austria,AUT,1970,18.704
Austria,AUT,1971,12.151
Austria,AUT,1972,7.359
Austria,AUT,1973,14.002
Austria,AUT,1974,-8.906
Austria,AUT,1975,-5.101
Austria,AUT,1976,19.38
Austria,AUT,1977,-12.174
Austria,AUT,1978,12.533
Austria,AUT,1979,8.695
Austria,AUT,1980,-4.339
Austria,AUT,1981,-14.491
Austria,AUT,1982,-10.343
Austria,AUT,1983,0.031
Austria,AUT,1984,8.082
Austria,AUT,1985,3.718
Austria,AUT,1986,-0.85
Austria,AUT,1987,5.544
Austria,AUT,1988,-5.089
Austria,AUT,1989,2.313
Austria,AUT,1990,14.565
Austria,AUT,1991,16.266
Austria,AUT,1992,-15.95
Austria,AUT,1993,0.543
Austria,AUT,1994,1.307
Austria,AUT,1995,10.916
Austria,AUT,1996,9.75
Austria,AUT,1997,1.718
Austria,AUT,1998,2.389
Austria,AUT,1999,-1.065
Austria,AUT,2000,-1.715
Austria,AUT,2001,18.015
Austria,AUT,2002,2.436
Austria,AUT,2003,24.229
Austria,AUT,2004,-4.717
Austria,AUT,2005,3.944
Austria,AUT,2006,-5.902
Austria,AUT,2007,-16.213
Austria,AUT,2008,3.986
Austria,AUT,2009,-21.053
Austria,AUT,2010,20.147
Austria,AUT,2011,-14.794
Austria,AUT,2012,-7.181
Austria,AUT,2013,0.918
Austria,AUT,2014,-16.087
Austria,AUT,2015,6.915
Austria,AUT,2016,5.798
Austria,AUT,2017,10.734
Austria,AUT,2018,-6.691
Austria,AUT,2019,8.538
Austria,AUT,2020,-30.973
Azerbaijan,AZE,1986,19.363
Azerbaijan,AZE,1987,-7.809
Azerbaijan,AZE,1988,0.498
Azerbaijan,AZE,1989,4.836
Azerbaijan,AZE,1990,7.657
Azerbaijan,AZE,1991,-10.489
Azerbaijan,AZE,1992,-35.869
Azerbaijan,AZE,1993,-30.372
Azerbaijan,AZE,1994,-13.344
Azerbaijan,AZE,1995,-9.405
Azerbaijan,AZE,1996,-28.817
Azerbaijan,AZE,1997,-6.099
Azerbaijan,AZE,1998,-0.21
Azerbaijan,AZE,1999,0.761
Azerbaijan,AZE,2000,5.455
Azerbaijan,AZE,2001,-4.05
Azerbaijan,AZE,2002,-3.548
Azerbaijan,AZE,2003,9.022
Azerbaijan,AZE,2004,17.378
Azerbaijan,AZE,2005,12.256
Azerbaijan,AZE,2006,-1.302
Azerbaijan,AZE,2007,-15.146
Azerbaijan,AZE,2008,1.824
Azerbaijan,AZE,2009,-17.57
Azerbaijan,AZE,2010,-4.725
Azerbaijan,AZE,2011,16.691
Azerbaijan,AZE,2012,6.627
Azerbaijan,AZE,2013,4.902
Azerbaijan,AZE,2014,3.49
Azerbaijan,AZE,2015,13.743
Azerbaijan,AZE,2016,-2.547
Azerbaijan,AZE,2017,-2.653
Azerbaijan,AZE,2018,4.639
Azerbaijan,AZE,2019,9.549
Azerbaijan,AZE,2020,-6.075
Bangladesh,BGD,1972,7.267
Bangladesh,BGD,1973,3.301
Bangladesh,BGD,1974,0.899
Bangladesh,BGD,1975,2.205
Bangladesh,BGD,1976,3.228
Bangladesh,BGD,1977,0.861
Bangladesh,BGD,1978,1.914
Bangladesh,BGD,1979,2.92
Bangladesh,BGD,1980,4.123
Bangladesh,BGD,1981,0.137
Bangladesh,BGD,1982,4.103
Bangladesh,BGD,1983,-0.862
Bangladesh,BGD,1984,2.557
Bangladesh,BGD,1985,5.299
Bangladesh,BGD,1986,5.117
Bangladesh,BGD,1987,5.25
Bangladesh,BGD,1988,6.125
Bangladesh,BGD,1989,4.313
Bangladesh,BGD,1990,4.349
Bangladesh,BGD,1991,-2.466
Bangladesh,BGD,1992,6.58
Bangladesh,BGD,1993,8.281
Bangladesh,BGD,1994,4.548
Bangladesh,BGD,1995,17.823
Bangladesh,BGD,1996,4.009
Bangladesh,BGD,1997,5.747
Bangladesh,BGD,1998,7.237
Bangladesh,BGD,1999,1.521
Bangladesh,BGD,2000,9.384
Bangladesh,BGD,2001,18.762
Bangladesh,BGD,2002,5.657
Bangladesh,BGD,2003,9.619
Bangladesh,BGD,2004,5.857
Bangladesh,BGD,2005,13.804
Bangladesh,BGD,2006,15.836
Bangladesh,BGD,2007,4.834
Bangladesh,BGD,2008,11.658
Bangladesh,BGD,2009,23.481
Bangladesh,BGD,2010,4.96
Bangladesh,BGD,2011,21.306
Bangladesh,BGD,2012,19.379
Bangladesh,BGD,2013,8.897
Bangladesh,BGD,2014,12.613
Bangladesh,BGD,2015,49.99
Bangladesh,BGD,2016,6.126
Bangladesh,BGD,2017,13.694
Bangladesh,BGD,2018,23.752
Bangladesh,BGD,2019,48.333
Bangladesh,BGD,2020,-13.11
Belarus,BLR,1986,57.795
Belarus,BLR,1987,6.781
Belarus,BLR,1988,6.786
Belarus,BLR,1989,-15.744
Belarus,BLR,1990,-19.088
