Country,Consumption,Latitude,Longitude,iso_alpha,Continent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,Oil Consumption,56.130366,-106.346771,CAN,Total North America,2.31414467,2.438144002,2.603182274,2.771255143,2.885563124,3.077280917,3.160261414,3.327598328,3.634678168,3.697206954,3.647598515,3.736398747,3.765650338,3.886891573,4.037705428,3.965771466,3.75614238,3.410169836,3.206504556,3.236783244,3.250884577,3.32303425,3.429466011,3.610073798,3.750734939,3.466109059,3.285621843,3.371388234,3.414886341,3.487888876,3.65992948,3.750376305,3.865264217,3.939918541,4.015986359,3.993053426,4.105667344,4.258987585,4.417874637,4.611315106,4.483997846,4.523655792,4.648722495,4.485861536,4.370225651,4.567449516,4.576405517,4.635962077,4.613207832,4.61188215,4.624487255,4.611656255,4.571622885,4.734158391,4.780727721,4.260597251
Mexico,Oil Consumption,23.634501,-102.552784,MEX,Total North America,0.642413923,0.673178278,0.720994839,0.78402204,0.828570415,0.89090901,0.94477238,1.063847141,1.138484147,1.28610789,1.419159931,1.563250798,1.613531315,1.816629987,1.949552318,2.173209813,2.379097972,2.463383975,2.400183858,2.540631377,2.645929386,2.678717626,2.809155724,2.80224974,2.998795878,3.132003446,3.26125353,3.297676369,3.29154022,3.547729351,3.306927522,3.384526873,3.494863996,3.678866962,3.645154555,3.817484526,3.754114304,3.59001423,3.684249379,3.833957793,3.926825295,3.88671392,4.037532145,4.027655405,3.891221064,3.908111548,3.973257792,4.037397559,3.925492646,3.747803129,3.704738429,3.731627938,3.593102109,3.505452126,3.236313017,2.464799096
US,Oil Consumption,37.09024,-95.712891,USA,Total North America,23.09211749,24.23248256,25.15965869,26.84865992,28.19461638,29.43428932,30.46206165,32.83168572,34.75892011,33.37742537,32.57941851,35.02654287,36.97752065,37.80509002,36.92820113,34.03249785,31.72591769,30.06191316,29.92131239,30.86394347,30.74557735,32.24011966,32.91175058,34.27518154,34.26311279,33.50488621,32.79063567,33.47059372,33.7537617,34.63108889,34.55109782,35.8097013,36.28716558,36.90400432,37.93353441,38.35488051,38.29265433,38.31268737,38.89325685,40.31232097,40.37068165,39.8552725,39.60631988,36.98530259,35.05408064,35.60842041,34.90895355,34.1115836,34.70001983,34.93815704,35.66006903,35.92469221,36.27665084,37.14304364,37.13199438,32.54030693
Argentina,Oil Consumption,-38.416097,-63.616672,ARG,Total S. & Cent. America,0.990865014,1.021990601,1.046618286,1.068376182,1.108724524,1.002261022,1.067355843,1.062622217,1.070059677,1.069550016,1.012569949,1.044702995,1.100271501,1.070168929,1.151459095,1.069120705,1.002837261,0.954066056,0.967511569,0.92016211,0.855072851,0.898988267,0.959591076,0.966001469,0.886754677,0.827854906,0.864924162,0.909694734,0.891911919,0.941335446,0.934309017,0.935271807,0.991030917,1.019779595,1.033055138,0.953632222,0.88306205,0.838134628,0.854719406,0.916871206,0.960329204,1.012866327,1.129483954,1.141385952,1.091007739,1.18136874,1.224020771,1.300523034,1.381620667,1.367696224,1.394311148,1.35105924,1.335229885,1.271558536,1.147720199,1.034799688
Brazil,Oil Consumption,-14.235004,-51.92528,BRA,Total S. & Cent. America,0.639830074,0.697671357,0.719970241,0.864706162,0.948843763,1.073585612,1.18294191,1.360720473,1.675193699,1.806622573,1.86496283,2.017241982,2.063231488,2.244438508,2.358500166,2.277540388,2.172989371,2.202736441,2.091214647,2.116788128,2.148164638,2.37232696,2.440972056,2.483760043,2.502684441,2.471653373,2.499519031,2.694964925,2.803679617,2.992938818,3.123757653,3.322951855,3.571374166,3.722883395,3.779698912,3.721663966,3.782649999,3.706510506,3.596848475,3.717102977,3.794994497,3.868219749,4.021501418,4.200030316,4.162062199,4.539265815,4.825939624,4.977891806,5.264292903,5.433426685,5.091610361,4.829664069,4.904986787,4.721070817,4.810174447,4.6067902
Chile,Oil Consumption,-35.675147,-71.542969,CHL,Total S. & Cent. America,0.149782887,0.163973838,0.171181758,0.180379877,0.192075633,0.202759874,0.22460235,0.237928776,0.226457543,0.216781742,0.188943918,0.200308063,0.205211316,0.224485656,0.226568254,0.229308414,0.236852301,0.210145613,0.204117605,0.204217982,0.198700298,0.212579496,0.222067025,0.244660512,0.27061342,0.285680011,0.318538682,0.345058697,0.376151545,0.403971136,0.444082331,0.471538467,0.507178638,0.518466586,0.52437795,0.51252846,0.487600306,0.508875397,0.491464283,0.521072689,0.540640903,0.600832575,0.773263801,0.803095816,0.784271307,0.694523016,0.758328169,0.75825821,0.731696002,0.711028256,0.717929744,0.760860012,0.728130661,0.760379089,0.760516181,0.693026202
Colombia,Oil Consumption,4.570868,-74.297333,COL,Total S. & Cent. America,0.165758372,0.188918956,0.190581724,0.212734294,0.204372421,0.231521374,0.239464978,0.271538428,0.261104545,0.289337264,0.291015344,0.306879236,0.307859793,0.314292868,0.333320124,0.318300437,0.32609398,0.334564702,0.34606154,0.344177483,0.357318521,0.353919846,0.372631239,0.392092853,0.402699244,0.408914814,0.41956107,0.461336415,0.490470889,0.506331276,0.533231925,0.550677347,0.562494357,0.54761746,0.485789117,0.475813034,0.446320816,0.43895058,0.456374403,0.456344066,0.473963175,0.460517821,0.454404987,0.491566625,0.483796989,0.508075273,0.522576725,0.568086806,0.561512406,0.5915193,0.633222509,0.649691465,0.632762731,0.650807917,0.68028244,0.552612309
Ecuador,Oil Consumption,-1.831239,-78.183406,ECU,Total S. & Cent. America,0.028514295,0.029771098,0.032152123,0.038419712,0.040654983,0.046359521,0.051236929,0.052673585,0.058623007,0.066766628,0.065331226,0.073835781,0.092139968,0.094221836,0.100344649,0.128704224,0.143858598,0.157112792,0.143935699,0.144665588,0.177881456,0.180695611,0.182270612,0.215239781,0.223939088,0.229019655,0.256366554,0.255767094,0.256824458,0.279201144,0.274757074,0.308593055,0.351954004,0.354275106,0.309587881,0.282018057,0.29290992,0.29088219,0.297327476,0.314235971,0.342508927,0.363014284,0.369010681,0.380160317,0.386615386,0.446856222,0.458263795,0.474385013,0.502653045,0.529446098,0.513576292,0.482547494,0.471145064,0.510121156,0.494461179,0.397659241
Peru,Oil Consumption,-9.189967,-75.015152,PER,Total S. & Cent. America,0.160747394,0.201463477,0.203055425,0.203854294,0.200909429,0.21097441,0.208832521,0.178748002,0.211691883,0.251104389,0.25422204,0.25642683,0.25557543,0.252337188,0.263129943,0.283507845,0.289392201,0.282183912,0.248911019,0.257031135,0.251794335,0.268287098,0.289180132,0.284747418,0.251788484,0.251153377,0.232838039,0.243683009,0.253931209,0.276140411,0.313071212,0.324438456,0.334701326,0.323286558,0.33186328,0.323158078,0.304767383,0.301885661,0.285196625,0.316586744,0.313748179,0.29753795,0.313364325,0.348602248,0.357791315,0.381060816,0.42089172,0.418541709,0.435659519,0.431291314,0.460350297,0.491273162,0.506874703,0.523150633,0.53590219,0.403781071
Trinidad & Tobago,Oil Consumption,10.691803,-61.222503,TTO,Total S. & Cent. America,0.079912454,0.080473081,0.083958604,0.085567635,0.089705832,0.092019103,0.095088353,0.154337971,0.155326295,0.152946586,0.116933592,0.131488548,0.128359106,0.115497908,0.088900363,0.070325117,0.069698216,0.077309659,0.067208354,0.057489446,0.060825438,0.065641895,0.043996714,0.039864871,0.035797212,0.053522078,0.050246662,0.071505611,0.062262044,0.047462064,0.054192241,0.062650574,0.036987682,0.042444709,0.075075158,0.07430686,0.069058442,0.078288752,0.074691295,0.081951345,0.072394694,0.079150356,0.090061803,0.095848497,0.091850291,0.095249738,0.089457385,0.085426539,0.09622261,0.086396826,0.094468713,0.099988323,0.092803619,0.087600013,0.081694158,0.079312584
