Category,Country,Continent,Year,Usage,FossilType,Measurement,Latitude,Longitude,iso_alpha
Oil Consumption,Canada,North America,1965,2.31414467,Oil,Exajoules,56.130366,-106.346771,CAN
Oil Consumption,Mexico,North America,1965,0.642413923,Oil,Exajoules,23.634501,-102.552784,MEX
Oil Consumption,US,North America,1965,23.09211749,Oil,Exajoules,37.09024,-95.712891,USA
Oil Consumption,Argentina,S. & Cent. America,1965,0.990865014,Oil,Exajoules,-38.416097,-63.616672,ARG
Oil Consumption,Brazil,S. & Cent. America,1965,0.639830074,Oil,Exajoules,-14.235004,-51.92528,BRA
Oil Consumption,Chile,S. & Cent. America,1965,0.149782887,Oil,Exajoules,-35.675147,-71.542969,CHL
Oil Consumption,Colombia,S. & Cent. America,1965,0.165758372,Oil,Exajoules,4.570868,-74.297333,COL
Oil Consumption,Ecuador,S. & Cent. America,1965,0.028514295,Oil,Exajoules,-1.831239,-78.183406,ECU
Oil Consumption,Peru,S. & Cent. America,1965,0.160747394,Oil,Exajoules,-9.189967,-75.015152,PER
Oil Consumption,Trinidad & Tobago,S. & Cent. America,1965,0.079912454,Oil,Exajoules,10.691803,-61.222503,TTO
Oil Consumption,Venezuela,S. & Cent. America,1965,0.403285547,Oil,Exajoules,6.42375,-66.58973,VEN
Oil Consumption,Austria,Europe,1965,0.235070909,Oil,Exajoules,47.516231,14.550072,AUT
Oil Consumption,Belgium,Europe,1965,0.678473134,Oil,Exajoules,50.503887,4.469936,BEL
Oil Consumption,Bulgaria,Europe,1965,0.1573757,Oil,Exajoules,42.733883,25.48583,BGR
Oil Consumption,Cyprus,Europe,1965,0.016848902,Oil,Exajoules,35.08620251,-33.15948469,CYP
Oil Consumption,Czech Republic,Europe,1965,0.169368794,Oil,Exajoules,49.817492,15.472962,CZE
Oil Consumption,Denmark,Europe,1965,0.443251605,Oil,Exajoules,56.26392,9.501785,DNK
Oil Consumption,Finland,Europe,1965,0.242947737,Oil,Exajoules,61.92411,25.748151,FIN
Oil Consumption,France,Europe,1965,2.29428517,Oil,Exajoules,46.227638,2.213749,FRA
Oil Consumption,Germany,Europe,1965,3.674051199,Oil,Exajoules,51.165691,10.451526,DEU
Oil Consumption,Greece,Europe,1965,0.18818362,Oil,Exajoules,39.074208,21.824312,GRC
