Country,Year,Latitude,Longitude,Continent,iso_alpha,OilConsumption,GasConsumption,CoalConsumption,TotalConsumption,Usage
Canada,1965,56.130366,-106.346771,North America,CAN,2.31414467,0.78006321,0.647949168,1.03949E+12,3.742157048
Mexico,1965,23.634501,-102.552784,North America,MEX,0.642413923,0.29032879,0.02888,2.67117E+11,0.961622713
US,1965,37.09024,-95.712891,North America,USA,23.09211749,14.97314197,11.60727884,1.37979E+13,49.6725383
Argentina,1965,-38.416097,-63.616672,S. & Cent. America,ARG,0.990865014,0.1484424,0.030438177,3.24929E+11,1.169745591
Brazil,1965,-14.235004,-51.92528,S. & Cent. America,BRA,0.639830074,0.001848318,0.07264098,1.98422E+11,0.714319372
Chile,1965,-35.675147,-71.542969,S. & Cent. America,CHL,0.149782887,0.02224008,0.04877622,61333107500,0.220799187
Colombia,1965,4.570868,-74.297333,S. & Cent. America,COL,0.165758372,0.0322245,0.084322152,78418062222,0.282305024
Ecuador,1965,-1.831239,-78.183406,S. & Cent. America,ECU,0.028514295,0,0,7920637500,0.028514295
Peru,1965,-9.189967,-75.015152,S. & Cent. America,PER,0.160747394,0.013167,0.001510943,48729260278,0.175425337
Trinidad & Tobago,1965,10.691803,-61.222503,S. & Cent. America,TTO,0.079912454,0.0411399,0,33625653889,0.121052354
Venezuela,1965,6.42375,-66.58973,S. & Cent. America,VEN,0.403285547,0.27064908,0.00083736,1.87437E+11,0.674771987
Austria,1965,47.516231,14.550072,Europe,AUT,0.235070909,0.063103129,0.212813639,1.41941E+11,0.510987677
Belgium,1965,50.503887,4.469936,Europe,BEL,0.678473134,0.002646,0.802573757,4.12137E+11,1.483692891
Bulgaria,1965,42.733883,25.48583,Europe,BGR,0.1573757,0.00202581,0.251040528,1.14012E+11,0.410442038
Cyprus,1965,35.08620251,-33.15948469,Europe,CYP,0.016848902,0,0,4680250556,0.016848902
Czech Republic,1965,49.817492,15.472962,Europe,CZE,0.169368794,0.0154458,1.479028968,4.62179E+11,1.663843562
Denmark,1965,56.26392,9.501785,Europe,DNK,0.443251605,0,0.154832051,1.66134E+11,0.598083656
Finland,1965,61.92411,25.748151,Europe,FIN,0.242947737,0,0.072935354,87745303056,0.315883091
France,1965,46.227638,2.213749,Europe,FRA,2.29428517,0.180169183,1.732087585,1.16848E+12,4.206541938
Germany,1965,51.165691,10.451526,Europe,DEU,3.674051199,0.111512425,6.730115535,2.92102E+12,10.51567916
Greece,1965,39.074208,21.824312,Europe,GRC,0.18818362,0,0.088215876,76777637778,0.276399496
Hungary,1965,47.162494,19.503304,Europe,HUN,0.15938313,0.0489501,0.45677988,1.84754E+11,0.66511311
Iceland,1965,64.963051,-19.020835,Europe,ISL,0.020204877,0,0.000273675,5688486667,0.020478552
Ireland,1965,53.41291,-8.24389,Europe,IRL,0.10267979,0,0.130879368,64877543889,0.233559158
Italy,1965,41.87194,12.56738,Europe,ITA,2.198657814,0.2654892,0.361153368,7.84806E+11,2.825300382
Luxembourg,1965,49.61682412,6.124983395,Europe,LUX,0.035396509,0,0.114178223,41548536667,0.149574732
Netherlands,1965,52.132633,5.291266,Europe,NLD,1.065256337,0.054,0.371,4.1396E+11,1.490256337
