Country,Year,Latitude,Longitude,Continent,iso_alpha,OilConsumption,GasConsumption,CoalConsumption,TotalConsumption
Canada,1965,56.130366,-106.346771,North America,CAN,2.31414467,0.78006321,0.647949168,1039488068888.89
Mexico,1965,23.634501,-102.552784,North America,MEX,0.642413923,0.29032879,0.02888,267117420277.777
US,1965,37.09024,-95.712891,North America,USA,23.09211749,14.97314197,11.60727884,13797927305555.5
Argentina,1965,-38.416097,-63.616672,S. & Cent. America,ARG,0.990865014,0.1484424,0.030438177,324929330833.332
Brazil,1965,-14.235004,-51.92528,S. & Cent. America,BRA,0.639830074,0.001848318,0.07264098,198422047777.777
Chile,1965,-35.675147,-71.542969,S. & Cent. America,CHL,0.149782887,0.02224008,0.04877622,61333107499.9998
Colombia,1965,4.570868,-74.297333,S. & Cent. America,COL,0.165758372,0.0322245,0.084322152,78418062222.222
Ecuador,1965,-1.831239,-78.183406,S. & Cent. America,ECU,0.028514295,0,0,7920637499.99998
Peru,1965,-9.189967,-75.015152,S. & Cent. America,PER,0.160747394,0.013167,0.001510943,48729260277.7776
Trinidad & Tobago,1965,10.691803,-61.222503,S. & Cent. America,TTO,0.079912454,0.0411399,0,33625653888.8888
Venezuela,1965,6.42375,-66.58973,S. & Cent. America,VEN,0.403285547,0.27064908,0.00083736,187436663055.555
Central America,1965,0,0,S. & Cent. America,,0.168905637,0,1.31E-05,46921871388.8887
Other Caribbean,1965,0,0,S. & Cent. America,,0.75095678,0.0001053,0.0020934,209209855555.555
Other South America,1965,0,0,S. & Cent. America,,0.097625988,0.001939921,0.001323029,28024704999.9999
Austria,1965,47.516231,14.550072,Europe,AUT,0.235070909,0.063103129,0.212813639,141941021388.888
Belgium,1965,50.503887,4.469936,Europe,BEL,0.678473134,0.002646,0.802573757,412136914166.665
Bulgaria,1965,42.733883,25.48583,Europe,BGR,0.1573757,0.00202581,0.251040528,114011677222.222
Croatia,1965,45.1,15.2,Europe,HRV,0,0,0,0
Cyprus,1965,35.08620251,-33.15948469,Europe,CYP,0.016848902,0,0,4680250555.55554
Czech Republic,1965,49.817492,15.472962,Europe,CZE,0.169368794,0.0154458,1.479028968,462178767222.221
Denmark,1965,56.26392,9.501785,Europe,DNK,0.443251605,0,0.154832051,166134348888.888
Estonia,1965,58.69807177,-25.8872705,Europe,EST,0,0,0,0
Finland,1965,61.92411,25.748151,Europe,FIN,0.242947737,0,0.072935354,87745303055.5553
France,1965,46.227638,2.213749,Europe,FRA,2.29428517,0.180169183,1.732087585,1168483871666.66
Germany,1965,51.165691,10.451526,Europe,DEU,3.674051199,0.111512425,6.730115535,2921021988611.1
Greece,1965,39.074208,21.824312,Europe,GRC,0.18818362,0,0.088215876,76777637777.7776
Hungary,1965,47.162494,19.503304,Europe,HUN,0.15938313,0.0489501,0.45677988,184753641666.666
Iceland,1965,64.963051,-19.020835,Europe,ISL,0.020204877,0,0.000273675,5688486666.66665
Ireland,1965,53.41291,-8.24389,Europe,IRL,0.10267979,0,0.130879368,64877543888.8887
Italy,1965,41.87194,12.56738,Europe,ITA,2.198657814,0.2654892,0.361153368,784805661666.664
Latvia,1965,56.98600629,-25.98243782,Europe,LVA,0,0,0,0
Lithuania,1965,55.56514803,-23.92632337,Europe,LTU,0,0,0,0
Luxembourg,1965,49.61682412,6.124983395,Europe,LUX,0.035396509,0,0.114178223,41548536666.6665
Netherlands,1965,52.132633,5.291266,Europe,NLD,1.065256337,0.054,0.371,413960093611.11
North Macedonia,1965,42.12066355,-21.42254912,Europe,MKD,0,0,0,0
Norway,1965,60.472024,8.468946,Europe,NOR,0.217139473,0,0.031958724,69193943611.1109
Poland,1965,51.919438,19.145136,Europe,POL,0.23192913,0.0616752,2.490350508,773320788333.331
Portugal,1965,39.399872,-8.224454,Europe,PRT,0.109906248,0,0.024785856,37414473333.3332
Romania,1965,45.943161,24.96676,Europe,ROU,0.30440307,0.505764973,0.182528833,275749132222.221
Slovakia,1965,48.17856255,-17.37553815,Europe,SVK,0.097369556,0.01074708,0.252829998,100262953888.889
Slovenia,1965,46.151241,14.995463,Europe,SVN,0,0,0,0
Spain,1965,40.463667,-3.74922,Europe,ESP,0.598972917,0,0.4061196,279192365833.333
Sweden,1965,60.128161,18.643501,Europe,SWE,0.826931689,0,0.093337379,255630296666.666
Switzerland,1965,46.818188,8.227512,Europe,CHE,0.346966449,0,0.0534,111212902500
Turkey,1965,38.963745,35.243322,Europe,TUR,0.15115948,0,0.15365556,84670844444.4442
Ukraine,1965,49.03256983,-31.17505696,Europe,UKR,0,0,0,0
United Kingdom,1965,55.378051,-3.435973,Europe,GBR,3.188590372,0.030940452,4.915177596,2259641227777.77
Other Europe,1965,0,0,Europe,,0.175245229,0.01245375,0.379122551,157450425000
